TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test4;50;USED;189.75;32095088;0.74;3.27;29.38;true;146.89;0.11;97.64;136.04;18.70;65.17;184.08;135.53;162.81;;;;;;;1910
Test5;50;NOT USED;461.96;32095088;0.71;0.72;0.77;true;3.31;0.12;0.27;451.56;451.30;451.38;454.63;451.45;451.66;;;;;;;573
Test6;50;USED;102.73;15890720;0.76;1.53;8.37;true;79.94;0.11;49.95;72.12;8.89;32.09;98.82;67.18;82.04;;;;;;;1910
Test7;50;USED;187.82;32095088;0.73;1.04;2.08;true;148.11;0.11;96.21;135.47;17.84;64.49;183.35;135.52;160.71;;;;;;;1910
Test8;75;USED;130.91;15890720;0.76;0.96;1.19;true;92.37;0.11;60.75;71.82;27.54;42.44;126.83;71.64;103.19;;;;;;;1791
Test9;75;USED;241.69;32095088;0.73;0.83;1.39;true;163.46;0.12;115.62;145.35;55.54;85.63;235.32;144.53;201.25;;;;;;;1791
Test10;50;NOT USED;237.79;15890720;0.72;0.76;0.95;true;0.16;0.11;0.14;223.52;223.47;223.49;223.66;223.61;223.63;;;;;;;573
Test11;50;NOT USED;467.60;32095088;0.71;0.75;0.95;true;0.18;0.12;0.14;451.45;451.29;451.35;451.59;451.43;451.49;;;;;;;573
Test12;75;NOT USED;356.21;15890720;0.72;0.76;0.78;true;0.16;0.11;0.13;335.40;335.21;335.34;335.55;335.33;335.48;;;;;;;382
Test13;75;NOT USED;697.60;32095088;0.71;0.75;0.77;true;3.21;0.11;0.17;677.33;676.93;677.23;680.46;677.08;677.41;;;;;;;382
Test14;50;USED;29.38;2239815;1.23;5.65;20.81;true;21.69;0.12;8.65;9.52;1.39;4.61;24.40;5.80;13.27;;;;;;;1910
Test15;50;USED;38.86;4293938;0.94;3.30;11.15;true;30.59;0.11;14.04;18.21;2.49;8.73;33.08;16.67;22.78;;;;;;;1910
Test16;50;USED;64.62;8869498;0.81;1.94;5.68;true;49.20;0.11;28.20;37.58;5.01;17.91;57.28;37.56;46.11;;;;;;;1910
Test17;50;USED;103.53;15890720;0.76;1.40;4.03;true;79.93;0.11;48.97;67.11;8.86;31.99;99.17;67.18;80.96;;;;;;;1910
Test18;50;USED;193.06;32095088;0.73;1.05;2.34;true;148.11;0.11;98.12;135.58;17.84;64.49;185.19;135.52;162.61;;;;;;;1910
Test19;50;USED;381.14;67108864;0.71;0.86;1.37;true;295.71;0.11;200.54;283.24;37.14;134.71;376.77;283.20;335.26;;;;;;;1910
Test20;50;USED;746.39;134217728;0.70;0.78;1.09;true;581.87;0.11;398.95;566.23;74.10;269.30;740.92;566.25;668.26;;;;;;;1910
Test21;75;USED;37.96;2239815;1.17;2.57;4.29;true;27.72;0.11;11.73;10.17;3.96;6.06;32.78;5.09;17.80;;;;;;;1791
Test22;75;USED;53.32;4293938;0.94;1.69;2.63;true;37.13;0.11;21.29;19.48;7.51;11.53;46.78;19.48;32.83;;;;;;;1791
Test23;75;USED;85.00;8869498;0.81;1.17;1.62;true;58.58;0.11;35.84;39.97;15.41;23.73;77.86;40.06;59.57;;;;;;;1791
Test24;75;USED;133.85;15890720;0.76;0.96;1.52;true;91.93;0.12;61.89;72.05;27.55;42.44;129.16;71.64;104.34;;;;;;;1791
Test25;75;USED;236.89;32095088;0.73;0.83;1.20;true;159.95;0.11;116.23;145.09;55.53;85.62;232.70;144.53;201.85;;;;;;;1791
Test26;75;USED;483.21;67108864;0.71;0.76;1.13;true;321.98;0.11;240.14;303.17;116.01;178.94;478.92;302.01;419.08;;;;;;;1791
Test27;75;USED;932.35;134217728;0.70;0.72;0.76;true;622.71;0.12;478.74;603.94;231.92;357.74;928.33;603.87;836.48;;;;;;;1791
Test28;50;NOT USED;45.82;2239815;0.70;0.84;0.96;true;0.17;0.11;0.14;31.57;31.53;31.55;31.74;31.65;31.69;;;;;;;573
Test29;50;NOT USED;75.46;4293938;0.70;0.77;0.85;true;0.17;0.11;0.14;60.46;60.41;60.43;60.62;60.53;60.57;;;;;;;573
Test30;50;NOT USED;139.19;8869498;0.70;0.74;0.76;true;0.16;0.11;0.14;124.78;124.74;124.76;124.94;124.85;124.90;;;;;;;573
Test31;50;NOT USED;238.09;15890720;0.70;0.73;0.75;true;0.16;0.12;0.14;223.51;223.47;223.49;223.65;223.61;223.63;;;;;;;573
Test32;50;NOT USED;466.19;32095088;0.70;0.72;0.75;true;0.17;0.12;0.14;451.45;451.29;451.35;451.60;451.43;451.49;;;;;;;573
Test33;50;NOT USED;960.76;67108864;0.70;0.71;0.75;true;0.17;0.12;0.14;943.99;943.56;943.68;944.12;943.70;943.82;;;;;;;573
Test34;50;NOT USED;1902.38;134217728;0.70;0.71;0.75;true;0.17;0.11;0.14;1887.74;1887.05;1887.31;1887.88;1887.19;1887.46;;;;;;;573
Test35;75;NOT USED;67.33;2239815;0.79;0.83;1.22;true;0.16;0.11;0.13;47.48;47.27;47.29;47.60;47.39;47.43;;;;;;;382
Test36;75;NOT USED;111.23;4293938;0.74;0.76;0.97;true;0.17;0.11;0.13;90.79;90.59;90.61;90.91;90.71;90.75;;;;;;;382
Test37;75;NOT USED;207.74;8869498;0.72;0.76;0.78;true;0.18;0.11;0.13;187.20;187.08;187.17;187.38;187.20;187.31;;;;;;;382
Test38;75;NOT USED;356.13;15890720;0.71;0.76;0.79;true;0.17;0.11;0.13;335.41;335.18;335.34;335.55;335.31;335.48;;;;;;;382
Test39;75;NOT USED;697.89;32095088;0.73;0.75;0.77;true;0.17;0.11;0.13;677.33;677.08;677.23;677.50;677.20;677.37;;;;;;;382
Test40;75;NOT USED;1438.15;67108864;0.70;0.73;0.76;true;0.17;0.11;0.13;1416.10;1415.31;1415.86;1416.23;1415.46;1415.99;;;;;;;382
Test41;75;NOT USED;2851.44;134217728;0.70;0.72;0.75;true;3.23;0.11;0.18;2831.92;2830.52;2831.50;2834.79;2830.65;2831.68;;;;;;;382